3.8000E+00	2.0996E+03	2.3276E+05	6.3000E-09	4.4820E+01	5.7034E+02
4.4000E+00	2.5338E+03	2.8246E+05	5.5000E-09	4.8410E+01	7.2935E+02
4.3000E+00	1.5059E+03	2.0046E+05	7.1000E-09	4.2480E+01	5.2870E+02
3.6000E+00	3.8796E+03	1.8101E+05	5.6000E-09	5.2170E+01	8.8397E+02
3.7000E+00	3.0308E+03	2.7690E+05	5.4000E-09	4.9690E+01	7.9174E+02
4.2000E+00	1.7899E+03	2.9171E+05	6.4000E-09	4.4170E+01	5.5404E+02
3.4000E+00	1.7107E+03	1.2759E+05	5.9000E-09	3.8230E+01	3.9011E+02
3.3000E+00	2.7849E+03	1.0929E+05	6.7000E-09	4.4320E+01	5.5449E+02
4.5000E+00	2.6647E+03	2.3862E+05	5.3000E-09	4.6430E+01	6.2937E+02
4.1000E+00	2.3360E+03	2.2777E+05	7.2000E-09	5.0660E+01	8.4111E+02
3.1000E+00	1.6297E+03	2.7680E+05	6.7000E-09	4.1820E+01	5.2291E+02
4.2000E+00	2.4175E+03	2.3340E+05	5.7000E-09	4.5800E+01	6.0426E+02
3.2000E+00	3.6949E+03	1.6372E+05	5.9000E-09	4.9350E+01	7.7290E+02
4.1000E+00	1.6396E+03	2.3528E+05	6.8000E-09	4.3010E+01	5.3457E+02
4.5000E+00	1.8881E+03	1.1475E+05	7.6000E-09	4.4730E+01	5.6810E+02
4.3000E+00	2.0402E+03	1.3361E+05	6.9000E-09	4.4390E+01	5.5790E+02
4.3000E+00	3.1066E+03	1.2269E+05	5.8000E-09	4.4370E+01	5.5453E+02
4.1000E+00	1.8310E+03	2.8843E+05	6.2000E-09	4.4060E+01	5.5168E+02
3.3000E+00	2.5395E+03	1.9627E+05	6.9000E-09	4.7830E+01	7.0202E+02
4.8000E+00	2.2605E+03	2.4646E+05	5.9000E-09	4.7370E+01	6.7611E+02
3.5000E+00	2.9391E+03	2.0652E+05	5.2000E-09	4.3780E+01	5.4250E+02
3.8000E+00	2.5706E+03	1.3661E+05	7.1000E-09	4.8310E+01	7.2516E+02
4.9000E+00	2.5126E+03	1.1650E+05	5.9000E-09	4.3510E+01	5.3719E+02
3.3000E+00	1.6879E+03	1.4821E+05	6.3000E-09	3.9700E+01	4.7492E+02
4.7000E+00	3.3529E+03	1.0974E+05	5.5000E-09	4.3480E+01	5.3599E+02
3.6000E+00	3.0102E+03	1.6815E+05	5.0000E-09	4.1930E+01	5.1755E+02
3.4000E+00	2.2694E+03	2.9901E+05	6.1000E-09	4.5590E+01	5.9784E+02
5.0000E+00	1.7747E+03	2.2791E+05	6.8000E-09	4.5310E+01	5.8766E+02
4.2000E+00	3.5126E+03	2.5817E+05	5.3000E-09	5.4410E+01	9.6140E+02
3.3000E+00	1.7908E+03	2.6636E+05	6.1000E-09	4.2090E+01	5.2372E+02
3.2000E+00	2.8806E+03	2.0496E+05	7.4000E-09	5.3410E+01	9.4230E+02
4.3000E+00	1.9625E+03	2.1572E+05	7.2000E-09	4.6170E+01	6.2248E+02
4.2000E+00	3.2238E+03	2.3645E+05	5.7000E-09	5.4380E+01	9.6368E+02
3.5000E+00	1.9758E+03	2.8485E+05	7.3000E-09	4.5130E+01	5.8296E+02
3.6000E+00	2.7560E+03	2.1912E+05	7.3000E-09	5.4260E+01	9.7151E+02
4.0000E+00	3.0353E+03	1.0116E+05	7.2000E-09	5.1370E+01	8.5823E+02
3.9000E+00	1.9377E+03	1.4473E+05	5.2000E-09	3.8070E+01	3.7809E+02
4.6000E+00	2.3374E+03	2.0732E+05	6.5000E-09	4.9420E+01	7.8269E+02
3.6000E+00	1.9163E+03	2.5130E+05	6.1000E-09	4.3130E+01	5.3541E+02
3.8000E+00	3.6069E+03	1.5361E+05	5.4000E-09	4.5290E+01	5.8208E+02
